Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
SOA,A,0.1,0.1,Human,Small Woodlands,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,10
SOA,A,0.25,0.25,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
EOA,E,385,37,Human,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.1,0.1,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
NOA,A,0.1,0.1,Human,Industrial,Benton,Reg Use Closure,Lvl 1 Fire Season Only,55,10
EOA,A,0.01,0.01,Human,Other Private,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,A,0.01,0.01,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,7
SOA,A,0.01,0.01,Human,BLM,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,4
NOA,B,9.5,9.5,Human,Rural Residential,Linn,Reg Use Closure,Lvl 3 Restricted Shutdown,58,8
EOA,A,0.1,0.1,Human,Other Private,Lake,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,98,5
SOA,A,0.2,0.2,Human,Small Woodlands,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,4
SOA,A,0.1,0.1,Human,Other Private,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,B,1.8,1.8,Human,Other Public,Deschutes,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,4
SOA,A,0.01,0,Human,USFS,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,6
SOA,A,0.25,0.25,Human,Agriculture,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.08,0.08,Human,Other Public,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,4
SOA,B,0.5,0.5,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,9
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,8
